scene_id,im_id,obj_id,score,R,t,time
000002,000003,5,0.8484740257263184,0.9538522251939597 0.2960264290350612 -0.050341690528640126 0.23832296232096514 -0.8483254983093531 -0.4728065297230441 -0.18266936832181613 0.4389899796475289 -0.879727059744084,134.178171733457 44.03108842204588 970.1698809972589,-1
000002,000008,5,0.8732240200042725,0.9602733162825952 0.25699986174623357 0.10874846710663919 0.2782565011108141 -0.9113811391782305 -0.30324534413533594 0.021177290317564795 0.32145838021835377 -0.9466868712315588,-36.47610926972586 166.87434093272023 988.855277459913,-1
000002,000017,5,0.9036245942115784,0.9045184161030038 0.4221150484461753 -0.06054189298160806 0.16658446215712344 -0.4804576734717356 -0.8610517063277611 -0.392550699780723 0.7687517869100599 -0.5049006221270227,64.15198960595664 48.85615415793567 963.2958926594976,-1
000002,000027,5,0.8627327084541321,0.9837375392686218 0.17234071413896743 0.050587864985463527 0.12836072810942548 -0.47756470063161216 -0.8691694197277404 -0.12563429990625538 0.8615280813535386 -0.49192010299067435,243.35664942630055 127.52457703703004 972.5360470160405,-1
000002,000036,5,0.866824209690094,0.9905347081980143 0.12445470081180428 0.05789662598907661 0.13659390186111525 -0.8521539274198136 -0.5051492749250889 -0.013531364655154109 0.508276215682803 -0.861087795025419,144.68991079644158 147.46409805872182 960.1978689225876,-1
000002,000038,5,0.8351341485977173,0.9833882532453808 -0.1653107059800227 0.07496608478095476 -0.12491402711028596 -0.9159829513611191 -0.3812764333746113 0.13169673196434892 0.3655784502732076 -0.9214165005499686,209.3155394078832 146.42335629110858 979.0282093051018,-1
000002,000039,5,0.8011826872825623,0.9739758793294663 -0.21548057294679196 0.07027879599790532 -0.1524520373548996 -0.8522821481989482 -0.5003733767575236 0.16771810513696256 0.4766374539877334 -0.8629527070850165,250.6351392933955 171.8140030258486 955.2483628752035,-1
000002,000041,5,0.8523283004760742,0.9663940874093646 -0.253716818936766 0.041355091691709533 -0.1733342838441165 -0.7619357093956367 -0.6240266026316627 0.18983596567686706 0.5958873639677015 -0.7803079876556149,302.7842756091584 90.66382750086245 971.700069212485,-1
000002,000047,5,0.906352698802948,0.9423266756517766 -0.32724203026437304 0.07023595933368193 -0.171906569140997 -0.6532784647667464 -0.7373434606465122 0.28717341074905084 0.6827443892852246 -0.6718567786800271,283.7745982473379 -7.607628645267751 953.537734414492,-1
000002,000058,5,0.9059090614318848,0.8875359660810411 -0.36048950341301794 -0.28692721523346076 -0.4135144548673126 -0.34860796311447095 -0.841117282945113 0.2031888395763465 0.8651703913000119 -0.45846972581556833,205.7408249514435 -8.390284917196329 979.854164171538,-1
000002,000061,5,0.8729016184806824,0.886173414338512 -0.40109356304299 -0.23199274429408953 -0.37843390505445534 -0.3376067157600118 -0.8618639596705354 0.26736577796131517 0.8515548480040601 -0.4509654993632253,325.70986373840566 -98.92404592835831 947.9032634982694,-1
000002,000062,5,0.9166767597198486,0.7541656126633004 -0.6438953776794323 -0.1289688771729441 -0.45673400650774076 -0.373207192672967 -0.807533552638248 0.4718350092729192 0.6679185084575993 -0.5755489467319006,112.84823132521215 -125.6336731762073 1056.4223468147607,-1
000002,000064,5,0.8547594547271729,0.7579871878808241 -0.6431973849613255 -0.1084091646837699 -0.33784376319981607 -0.24496817133149218 -0.9087640984884314 0.5579578968663378 0.7254569036224118 -0.4029829603234807,125.41668320386512 -78.75147148000305 1075.2045241357469,-1
000002,000065,5,0.8819968700408936,0.731443992826582 -0.4247730039606451 -0.5334393878072343 -0.5492562475784329 0.09659810352611597 -0.830052035050344 0.40411292958029243 0.9001314912285916 -0.16265312368542495,324.778469607582 -51.38227824160241 1028.5868338272367,-1
000002,000069,5,0.8802034258842468,0.94027808408546 -0.3025533084812889 -0.1560083975803953 -0.1870358678885971 -0.07626058113675382 -0.9793885377560042 0.2844199513250361 0.9500767438958343 -0.12829447375687497,214.92571048093274 100.26411513232057 1040.7494199760304,-1
000002,000072,5,0.8598411679267883,0.8697599080399483 -0.16441077138593552 -0.465281420882698 -0.4920213872723166 -0.2166040108833973 -0.8432067699774771 0.03785045353712163 0.962315852889012 -0.26928710040684734,116.59899001834765 -6.713812915490127 992.9519590426037,-1
000002,000079,5,0.924200177192688,0.7839569243569986 0.5912950516973476 -0.18916052069854908 0.22132855836781365 -0.5508761687619157 -0.8047043655535979 -0.5800217323545218 0.5889869340897338 -0.5627336683263542,235.5590309489686 62.58481344993275 951.9433450947075,-1
000002,000089,5,0.8733681440353394,0.7421326871853331 0.17340725656597086 -0.647432620418017 -0.523628706873931 -0.45297566802128864 -0.7215441923529022 -0.4183922226196506 0.8744958362113171 -0.245367032220015,60.52893994956676 -64.80403476485414 931.696317514026,-1
000002,000096,5,0.8828668594360352,0.8750887629107365 0.4735679869893963 -0.09976481707580012 -0.053145359904170825 -0.11086278740670119 -0.9924137308043822 -0.48103557846381073 0.8737521410945027 -0.07184683837692085,168.07887135633942 91.29882911176479 976.1205583813027,-1
000002,000097,5,0.9112610816955566,0.8184371136963294 0.5484130797340955 -0.17147531863503354 0.3529660611217381 -0.7153290730731361 -0.6030914332939359 -0.4534045110280963 0.4330674441618685 -0.7790230665304336,297.1796555779781 -36.71372887457355 865.7218279925034,-1
000002,000102,5,0.8612234592437744,0.7106712615371036 0.6945785575716845 -0.11183463411170916 0.5487385922053303 -0.6467437475524767 -0.5297249120310379 -0.44026391567987255 0.3150922918184714 -0.8407642548222478,186.32591455249076 -8.106417916576875 905.0668147343038,-1
