scene_id,im_id,obj_id,score,R,t,time
000002,000003,6,0.8132659792900085,0.23322925750427415 -0.9635638253617972 -0.1309536860807854 -0.9364912139676033 -0.1862966909683641 -0.2971157166757131 0.26189371814820184 0.19193305444445402 -0.9458188954583919,114.30545276012595 -320.55941589484536 1236.1780032751783,-1
000002,000008,6,0.8518944978713989,0.23973789771078902 -0.9706093735718422 0.021051943750811077 -0.9640777949921089 -0.2405671042125237 -0.11261204897325199 0.11436671545674729 0.0067016643661720054 -0.9934159964940965,-84.02776226086173 -237.80709162451808 1173.680319630824,-1
000002,000017,6,0.8099198341369629,0.3573755041916242 -0.9189268503494424 -0.16690174567881488 -0.7120342331864166 -0.1524268427675468 -0.6854001082393766 0.6043922565473635 0.36378496575693026 -0.7087809950293638,100.3612081590305 -133.49818075184604 1345.1177197554389,-1
000002,000036,6,0.8731340765953064,0.26500346520020945 -0.9638746342770971 -0.026811430940439668 -0.9160910281668752 -0.2429939494561293 -0.31895323895497596 0.3009159210544352 0.10908542489675166 -0.9473911433674356,116.55856066773845 -210.68899929858057 1241.3862176156138,-1
000002,000038,6,0.8035379648208618,-0.01193346979415022 -0.9988576315666255 0.04627120227294207 -0.9852887869187874 0.003856693931108879 -0.17085412574481887 0.17048049351986502 -0.04762937930556264 -0.9842092478513857,52.29344441241425 -230.92006859147003 1189.8572961965594,-1
000002,000039,6,0.8344882726669312,-0.07882335234162152 -0.9952791246125284 0.05662458155384768 -0.9517352847194226 0.05823029420179504 -0.3013456166218657 0.2966257354742989 -0.0776446839628578 -0.9518321680352271,71.2524441646254 -166.67047839272826 1192.27415829597,-1
000002,000041,6,0.8510119318962097,-0.10831069668983329 -0.9924769057841577 0.05708226053396545 -0.909117352354934 0.07565471146972513 -0.40961201676658343 0.4022119250217704 -0.0962598364715895 -0.910472191367065,104.06465734187898 -197.200432739336 1245.108783700137,-1
000002,000047,6,0.8487980961799622,-0.15304948839739518 -0.9845760009359924 0.08476999753559175 -0.8371665915408956 0.08359730962359113 -0.5405215886821698 0.5250980404734863 -0.15369316251735474 -0.8370486602858398,57.25465130846848 -242.74266811940691 1249.138181224325,-1
000002,000058,6,0.7632886171340942,-0.46419522396159163 -0.8606354487204189 -0.2093547669795245 -0.3927396328284211 0.41185229289195213 -0.8222732329617928 0.7939007336292395 -0.2994733932179032 -0.5291855174676554,-16.836161272189454 -79.96776997201898 1328.712389021704,-1
000002,000061,6,0.7464857697486877,-0.31994599196872775 -0.9297545470293457 -0.1821840950835258 -0.5859364132243817 0.34528450747878026 -0.7331146762634635 0.7445220492912843 -0.12780880710417558 -0.6552494387221666,87.97980967850597 -173.64720547137662 1344.4917724468123,-1
000002,000062,6,0.7933091521263123,-0.5509489242700667 -0.8344758277659966 0.010265267649279375 -0.64133089628645 0.4154933915917749 -0.6450270715341975 0.5339943485787797 -0.36196040448896993 -0.764090767689354,-225.41746367813224 -213.44601985627617 1322.9965670150555,-1
000002,000064,6,0.7566601634025574,-0.5520889935271276 -0.8337694598439314 0.0051216264762666275 -0.49110775229531844 0.32021575113123146 -0.8101080473386877 0.6738033235756884 -0.44976700697029814 -0.5862582371100098,-220.57057896792992 -120.396246186694 1394.9931569208434,-1
000002,000065,6,0.4792540669441223,-0.02107330948758923 -0.7972253903752488 -0.603313842513391 -0.2914714713188914 0.5821328966693069 -0.7590557766215884 0.9563473725767437 0.15985295604534294 -0.24463592419987057,112.7600698871863 79.16051776138782 1476.2471565403202,-1
000002,000069,6,0.39575228095054626,0.19110502679614805 -0.9152497700009636 -0.3546783433569451 -0.24710954186956874 0.3048401636728111 -0.9197876651319836 0.9499556532019038 0.2634204493298067 -0.1679104637139317,21.962482385416784 149.4562587046793 1787.2896549098496,-1
000002,000072,6,0.5412170886993408,0.14341041454888426 -0.9785884783063054 -0.14764160363890427 0.17186857323614146 0.17154330631779446 -0.9700691148528195 0.9746253877940438 0.11374306213439783 0.19278970222395242,2.1817566344147252 12.539817096346322 1367.8463085194703,-1
