scene_id,im_id,obj_id,score,R,t,time
000002,000003,9,0.9393317699432373,-0.9916733938919076 -0.12002765984646917 -0.04666091210731245 -0.08158513434863406 0.8659094382965556 -0.493502492924057 0.09963807354732114 -0.4855864552690117 -0.8684918242327071,70.50901967559933 134.18460775781267 997.6976048448784,-1
000002,000008,9,0.9186946153640747,-0.9928775353395933 -0.07286585549084702 0.09425904159051511 -0.10052244762429681 0.9370185507749375 -0.3345018281373907 -0.06394870867809578 -0.3415945002590396 -0.9376693234030757,-106.95573717071667 251.65832141950753 1010.8814025137723,-1
000002,000017,9,0.9110402464866638,-0.9717314354142803 -0.23100376554753663 -0.048736821096186 -0.07222565477805223 0.48741096326573363 -0.8701804454710823 0.22476982052665462 -0.8420616445315797 -0.49031695319373503,-8.805688668585567 130.8359343729324 951.3010081699797,-1
000002,000027,9,0.91197669506073,-0.6898306940775383 -0.722557807033266 0.045208727075422894 -0.37241443906233884 0.30061010729005766 -0.8780324874245508 0.6208390283208571 -0.6225301429572209 -0.47646103935503126,190.28512360216527 204.85844250757575 946.5068300123957,-1
000002,000036,9,0.9281080365180969,-0.7179473965165366 -0.6928696276075953 0.06695681424649294 -0.6208301261641102 0.5938435305277527 -0.5117810231899862 0.31483565598925156 -0.4090006606220169 -0.8565027550034918,93.13215019430669 231.90031283388717 970.8049853361924,-1
000002,000038,9,0.9490886330604553,-0.8842585923347999 -0.4595926545309773 0.08283316837624856 -0.45279361084209935 0.8003551926267988 -0.3929497571139259 0.11430086553763151 -0.3849755284904348 -0.9158215735616075,178.27587984485916 238.62053056642944 997.9050441010127,-1
000002,000039,9,0.9303046464920044,-0.9122592759772301 -0.4041663817998021 0.06657739268217863 -0.37932741720831203 0.7722383281331675 -0.5096652579057764 0.15457594880048964 -0.49020148957846615 -0.8577929678351774,224.42504915609507 267.7064023612051 961.9362462856744,-1
000002,000041,9,0.9180495738983154,-0.9345278417026683 -0.35183186006047346 0.05359156023983462 -0.3051599882533365 0.714694611006953 -0.6293560157548697 0.18312589836442017 -0.6045047189592547 -0.7752670185840596,281.5735054006356 186.20662539711023 966.0377023488137,-1
000002,000047,9,0.8962852954864502,-0.9552990316900429 -0.28847573330825155 0.0646955280087671 -0.241130205610448 0.6336601320850901 -0.735072146763955 0.17105549974885262 -0.7178137559967578 -0.6748951234877147,264.885695619458 84.62140240065085 922.4953460780498,-1
000002,000058,9,0.8968725204467773,-0.933337606199532 -0.21558942570551165 -0.2870576812727622 0.1373978471836133 0.5242092644191361 -0.8404323165409912 0.33166661641328254 -0.8238481939174934 -0.45964269703308513,212.38843553301072 78.20784663995752 934.0715771038892,-1
000002,000061,9,0.8574915528297424,-0.9573517034184664 -0.17721878751075018 -0.2281911858836367 0.11668894674393518 0.48535571415266643 -0.866494962736164 0.264313082668172 -0.8561678177159981 -0.4439766460500749,333.7696418741434 -14.043854933996283 906.4402357262418,-1
000002,000062,9,0.8721449375152588,-0.9882895095130615 0.09123026181052346 -0.1223146954229771 0.15251622247034444 0.5655882265503891 -0.8104620656582034 -0.00475891477216292 -0.8196261326468118 -0.572879005910168,136.90347256405917 -37.172791453940384 1026.8135370306272,-1
000002,000064,9,0.9149386882781982,-0.992333172799919 0.06792627073674226 -0.10325161453772097 0.12158471977333007 0.38659409941701806 -0.9142002834245819 -0.022181751023941314 -0.9197450864450127 -0.3918889458529913,149.00604535437694 1.3128145979111814 1033.1578114094739,-1
000002,000065,9,0.8563066124916077,-0.8489540621718432 -0.06707477744047474 -0.524192688382085 0.49055295705422697 0.26890927804443165 -0.8288821366798639 0.19655736223118328 -0.9608271303480839 -0.19538789353433894,356.9925276800224 7.4354724991479095 964.3357213914254,-1
000002,000069,9,0.8860557079315186,-0.9396529762694976 -0.30345421059631283 -0.15801210795139764 0.10491892033266556 0.18401187989669465 -0.9773083690489468 0.32564444466949427 -0.9349091774756804 -0.14106922246770814,209.18063795977153 165.8158473865259 971.7626323884183,-1
000002,000072,9,0.9002338647842407,-0.7895185722879843 -0.38413362933751966 -0.4786457759390846 0.27391214328087093 0.47736686707982356 -0.8349209615153244 0.5492108536578851 -0.7902924958686999 -0.27167114163635064,119.5544452168962 73.45851716132289 943.871543938278,-1
000002,000079,9,0.8320509791374207,-0.9053873561765107 0.33530944749514363 -0.260463643712919 0.40396549702697887 0.4914311521436071 -0.7715615982632579 -0.13071194470076114 -0.803780440868841 -0.5803889991972944,136.7901874890158 -85.7101543084139 1199.9139906745843,-1
000002,000089,9,0.8563171625137329,-0.5207370340955264 0.5567079791861823 -0.647231926925605 0.7130797077071319 -0.1332260679530739 -0.688308176091258 -0.4694148184470808 -0.8199555114322973 -0.32760141558621814,-102.37225744560405 -21.1530676824644 1204.0764278804306,-1
000002,000096,9,0.9020913243293762,-0.8937750812197112 0.4306903517166273 -0.12518755980091334 0.17819262615174333 0.08483778388120267 -0.9803315451474933 -0.4115987028354735 -0.8985034064288987 -0.15257174200952628,32.16432256738991 72.26811240951348 1260.1501741215404,-1
000002,000097,9,0.8892698287963867,-0.9019587940874416 0.3843027660629682 -0.19693074357417958 0.4265891552138086 0.7221940728133552 -0.5444790297589315 -0.0670225814356393 -0.5751061686242025 -0.8153286873329635,182.49880457388252 -240.4029050288793 1036.0014557397396,-1
000002,000102,9,0.933646023273468,-0.9595021914793971 0.21875888757597664 -0.17748265732954446 0.27845819493286195 0.8318614770422421 -0.4800703247315248 0.04262133527903078 -0.5100500290359963 -0.8590881151892467,125.12669837600585 -248.45442739704194 1053.8601398703809,-1
000002,000107,9,0.9284319281578064,-0.9868744653274151 0.1332715695995031 -0.09120021064237588 0.1565393051654324 0.92822285551696 -0.3374874463358071 0.039676638252913315 -0.34733416076226287 -0.9369016731463993,1.2190526513453166 -182.69013194231255 1043.7956034506674,-1
000002,000110,9,0.8829011917114258,-0.956980132636629 0.1899188066833514 -0.21936242295970415 0.290143073655016 0.6327595536677584 -0.717936169901057 0.0024540881810359017 -0.750697138738487 -0.6606419479120658,96.60025658309571 -129.6179182862341 1167.6747890250667,-1
000002,000119,9,0.8934317827224731,-0.9270025154283392 0.29911858133258895 -0.22626181889817712 0.37491808628900447 0.7227385249512738 -0.5805906071619207 -0.01013730550603939 -0.6230386014147409 -0.7821253967134945,110.17438987758544 102.67766819734008 845.0084835239957,-1
000002,000124,9,0.8959596157073975,-0.9492808166996352 0.3061019603835554 -0.07188547068371315 0.31376367798627736 0.9370530647494453 -0.15324460258095712 0.020452027346900003 -0.16802721116835845 -0.9855701755250037,-41.62251018526508 183.64885096058885 973.1779468520149,-1
000002,000126,9,0.9298545122146606,-0.8748102339737995 0.48243542932776573 -0.04430700919765139 0.47076224276555956 0.8249049541149502 -0.3129132906460707 -0.11441138632604174 -0.2945978160237212 -0.9487476806153508,65.30246695093535 145.55305995757823 932.3816024931526,-1
000002,000136,9,0.8504381775856018,-0.8947738821241285 0.03528364894314845 0.44512331323552795 -0.26734011946512426 0.7561218582288534 -0.5973349111117807 -0.3576436220497862 -0.6534789970808568 -0.6671253555227143,-208.23738721523443 104.79609188722692 886.8905448990286,-1
000002,000162,9,0.8821388483047485,-0.9782229782908356 -0.19796391180496595 0.062370621022101856 -0.2006393551260707 0.8249835053276705 -0.5283427534393408 0.05313806468438124 -0.5293510230084997 -0.84673717322523,103.96335899730701 -45.2222786276994 1081.0380266839322,-1
000002,000166,9,0.8160369396209717,-0.9724639960179251 0.22828043177105034 0.046923564647966876 0.14772130626298996 0.759504679524074 -0.6335069513880566 -0.18025590732290864 -0.6091310911876494 -0.7723128392197935,7.920335652497014 -60.825275554638324 1022.4464306896341,-1
000002,000175,9,0.8989337086677551,-0.9983109095446323 -0.022923623681295524 0.053383849256939224 -0.036201164361017994 0.9641220773033057 -0.26297926867961535 -0.04544010984885296 -0.2644676304081032 -0.96332344977336,59.32634974289798 -18.16954695762349 967.4440085805276,-1
000002,000176,9,0.8627827763557434,-0.9970626520916825 -0.06019814695037902 0.04735241184609045 -0.07231108541071167 0.9436460706484063 -0.3229600598782265 -0.025242320230635627 -0.32543551811927884 -0.9452272471822907,27.144785332735882 -104.0778428532313 1003.7665557863438,-1
000002,000178,9,0.8752053380012512,0.4417152859669322 -0.8322892224522541 -0.33493619740627284 -0.8669130740065104 -0.2998501599428658 -0.3981853886053845 0.2309747351112979 0.46624514128520483 -0.8539708074449655,334.08486744282965 133.34582037378505 954.9896012291707,-1
000002,000203,9,0.9252851605415344,-0.55237312542657 -0.8188670092736711 -0.15601522819800756 -0.784563251849501 0.5739380756233354 -0.23463927462622036 0.28168144091121666 -0.007204614700037804 -0.9594809322613997,244.0702974875515 -56.75879809293842 899.7019562724702,-1
000002,000207,9,0.4990953207015991,-0.23028567022400281 -0.8419343434724936 -0.4879703591111074 -0.6016773350889314 0.5173001900677978 -0.6085925548313109 0.7648221326097747 0.1534505608896934 -0.6256996330771458,270.8477510353698 -108.88789425151586 992.5276535385217,-1
000002,000217,9,0.8553763031959534,-0.4120236017612289 -0.8819689843233292 -0.2288389439832738 -0.1753064824405493 0.32318658674879486 -0.9299559491502731 0.8941499811586566 -0.34304684933306007 -0.28777538177654316,96.27161782743502 74.32513091144997 959.5018504829615,-1
000002,000219,9,0.7882073521614075,-0.2749329563787739 -0.9461165499066966 -0.17110039009153688 -0.09936796818334587 0.2049663029984492 -0.9737118780903626 0.9563147371006788 -0.25070358718573793 -0.15036567087025676,118.94117881893996 42.43703634639359 875.8741323312523,-1
