scene_id,im_id,obj_id,score,R,t,time
000002,000003,11,0.7194269299507141,0.19385964085040452 0.9789179044065262 -0.06432865676887498 0.8199889294661868 -0.19768503072025023 -0.5371580625682081 -0.5385504574338873 0.05138448269146445 -0.8410249935265193,-7.449606240593955 -153.60437323640852 1142.5501258691634,-1
000002,000008,11,0.7954573035240173,0.2791039054304161 0.9556771602999741 0.09371326082506895 0.9093593109933495 -0.2316954986388282 -0.345518218651645 -0.30849092933697464 0.18165451051785933 -0.9337210425632101,-195.88170359299062 -50.13611374865884 1092.4360049635004,-1
000002,000017,11,0.511474609375,0.11914398636646073 0.9875278956924112 -0.10292407756218858 -0.18661947333475326 -0.07954143744463882 -0.9792069913463142 -0.9751809486884823 0.13587426157502952 0.1748150518590217,-451.3230710835409 -283.5719997175746 1075.603616703793,-1
000002,000027,11,0.629838764667511,0.09484647600708329 0.9951034525518351 0.02780763759213678 0.518647422553754 -0.02555241671340225 -0.8546062982908871 -0.8497111256582355 0.09547875533081968 -0.518531397519082,104.20921604615143 10.431324601349983 1168.4972436947298,-1
000002,000036,11,0.7683460116386414,0.18778147284189717 0.9807876402179304 0.052855683261796155 0.8185213029186363 -0.12651493814265113 -0.5603720613085016 -0.542918958156469 0.14849099374206046 -0.8265527385786036,-4.223070232575204 -53.82097561556709 1125.9571589652107,-1
000002,000038,11,0.711801290512085,0.5036976209196149 0.8606426465862705 0.07471908428841804 0.8123271226613947 -0.44243231861567645 -0.3799714321274902 -0.29396148126681365 0.25208704512794067 -0.9219754710457781,-1.6369838012431712 -26.60536300618039 1060.947251159858,-1
000002,000039,11,0.802063524723053,0.5332613276508793 0.8438922818341703 0.05897603829301301 0.7479736201896781 -0.43778518387772336 -0.4988783381521944 -0.39518074337240783 0.3101450458057735 -0.8646630734741516,30.004387656500892 20.90139330328543 1046.596074688982,-1
000002,000041,11,0.7998762130737305,0.6141943549555269 0.7873033689013541 0.054024991044355875 0.6359326469333025 -0.4532442904660192 -0.6246273142637606 -0.4672846700943314 0.41799882592721876 -0.7790519999449965,72.6114006883693 -35.89296972916098 1067.7830746815725,-1
000002,000047,11,0.7763842940330505,0.6709126668537373 0.7376879757592053 0.07544961149994206 0.5146866017969215 -0.3900034867587341 -0.7635410809162576 -0.5338294628305404 0.5511022869997148 -0.6413363968135135,43.84736011520258 -108.92838708402631 1058.7244161853328,-1
000002,000058,11,0.8289165496826172,0.6634484504559328 0.6868979524493659 -0.29666033861723157 0.09318216733429346 -0.46925307728715393 -0.8781336077997586 -0.7423969539798136 0.5549529280735488 -0.3753318669445609,-28.726642977135324 0.847461934599122 1157.5874789980073,-1
000002,000061,11,0.7475888729095459,0.7005575025671885 0.670916280638111 -0.2430854375966345 0.14374301062901645 -0.466342457688977 -0.8728474431720081 -0.6989686205346634 0.5765379922705258 -0.42313923355857885,85.7053982422175 -93.78854857922964 1105.0575845460141,-1
000002,000062,11,0.761792778968811,0.8886177358781754 0.4418167589947475 -0.1231116198988648 0.17251732431302644 -0.5706907101502519 -0.8028386426674262 -0.4249662248868955 0.6921777696658412 -0.583346931838852,-156.47512711646309 -114.57751718577184 1105.2416837652017,-1
000002,000064,11,0.7246425747871399,0.8940295788023072 0.4353720510674355 -0.10565173626544694 0.10471266418626787 -0.4323610218808591 -0.8955999133079198 -0.4355988638479021 0.7896297384898023 -0.43213250966219086,-145.69291296942143 -63.290145431033096 1131.182793513373,-1
000002,000065,11,0.775536298751831,0.6582554757351823 0.5308279031401865 -0.5337803536216388 -0.2963703778967736 -0.46906372001381147 -0.8319518169173792 -0.6920002368279743 0.7058335241504172 -0.15144209591599678,110.7384212753565 75.91776754944574 1166.1834576409565,-1
000002,000069,11,0.5411189794540405,0.5758968820605386 0.796505698829223 -0.18417777543862662 0.054385397583046224 -0.2621151436102829 -0.9635029216457491 -0.8157113519883636 0.5448617468888157 -0.1942695730540014,-14.282938561940291 124.82528126747548 1184.3245553925335,-1
000002,000072,11,0.6816155910491943,-0.41827511754046576 -0.7673691175964779 -0.48599440676381533 -0.04241066875962246 0.5509630161750232 -0.8334513123048537 0.9073297422777848 -0.3280005978142786 -0.26299875781380533,-62.83566466440864 41.12726011885242 1171.3172199385804,-1
000002,000079,11,0.6324989795684814,0.2890613869092279 -0.9407695250284147 -0.17718977221026233 -0.5701700664030107 -0.020508091191876687 -0.8212706701043526 0.7689925942270837 0.3384259431152948 -0.5423267198381647,229.46740778565777 -56.54925806879618 1158.9645817249316,-1
000002,000089,11,0.7140265703201294,0.24700365413661696 -0.6806568716283532 -0.6897067622897879 -0.3424990522700142 0.604495031924378 -0.719221909825394 0.9064676464371471 0.4138743522904611 -0.08381185166103133,-4.427111008995713 -68.28124813049743 1173.2557225035969,-1
000002,000096,11,0.4297908544540405,0.21568833788921027 -0.9718699677649201 -0.09459020380146749 -0.19029074590379524 0.05317789728117761 -0.9802864597984253 0.9577410782262434 0.22943599760579375 -0.17346800881046365,128.34364532502445 83.13146708357664 1193.344017107816,-1
000002,000097,11,0.6859279870986938,0.36458246721346765 -0.9203786197597268 -0.1413606058621752 -0.6845426586029766 -0.16199964106102027 -0.7107443034234391 0.6312534935771126 0.35589227665865586 -0.6891006561173842,300.6736321590048 -218.4175007534484 1093.0319350984362,-1
000002,000102,11,0.6731341481208801,0.47720380375193505 -0.8725664248661047 -0.10442396219771108 -0.7503289983005896 -0.3427006962673216 -0.5652987060723975 0.4574745063868788 0.3481150197481824 -0.8182499673277135,211.34071206186246 -194.49970260534604 1038.5653204519165,-1
000002,000107,11,0.827907919883728,0.5587815230218154 -0.8290292357414397 -0.0217654730108241 -0.7515993055687111 -0.4951506247818951 -0.43580310077686474 0.35051632401081073 0.25987763479003606 -0.8997788181202562,84.30232524352623 -121.99219144506793 1108.6302325661889,-1
000002,000110,11,0.7166256904602051,0.48423392915054075 -0.8625582733027372 -0.14666535724713475 -0.5861093065114437 -0.1953329811062725 -0.7863338396080962 0.6496101774757717 0.4667314556028309 -0.6001402883249543,181.84777706202766 -81.521195091695 1120.3729548025758,-1
000002,000119,11,0.665550947189331,0.10742027846168234 0.963396922200531 -0.24561607046314968 0.7773673844190561 -0.23539936354270674 -0.5833413145707786 -0.6198070937127859 -0.12827123581782826 -0.7742000107498561,173.56377002746245 -172.58286239768935 1002.9886681343779,-1
000002,000124,11,0.8167170286178589,0.09595901541421492 0.9920397969327305 -0.08154084045680211 0.9814150606380315 -0.10797076771317071 -0.15864044904209557 -0.16618166599713569 -0.06480242758644002 -0.983963566025349,23.784860379188288 -122.33686066421478 1005.9249776870194,-1
